SYMBOL	treatments
ABCC10	PACLITAXEL:18445659| vincristine:-| tenofovir:21628669| daunorubicin:26230641| doxorubicin:26230641
ABCC2	erythromycin:-| deferasirox:25348619;26403473;28346059| oxaliplatin:23314736| sorafenib:23237922| voriconazole:29914286| lamivudine:-| lovastatin:-| epirubicin:24599932| SULFONATES:12161163| ritonavir:26287941| pitavastatin:23007012| pemetrexed:-| efavirenz:26774523| diclofenac:17241877| leucovorin:23069858;23314736| atazanavir:26287941| hmg coa reductase inhibitors:-| imatinib:30237583| calcein:22027652| ceftriaxone:29873816| trabectedin:24024892| simvastatin:22186618;30024814| cyclophosphamide:24599932| emtricitabine:30767719| rosuvastatin:30100615| SN-38:-| paclitaxel:21151855;24599932| fluorouracil:23314736
ABCC3	MONOMETHYL AURISTATIN E, VEDOTIN:18593940| doxorubicin:22016816| vincristine:22016816| morphine-6-glucuronide:-| busulfan:-| etoposide:-| morphine:25155932| morphine-3-glucuronide:-| lamivudine:-| cytarabine:-| cyclophosphamide:22016816| PACLITAXEL:18593940
ABCC4	THIOGUANINE, 6-THIOGUANINE:14643890| azathioprine:20393862| thioguanine:-| misoprostol:26122863| imatinib:23127916| MTX, METHOTREXATE:12036927| fluorouracil:19696793| doxorubicin:19696793| Bisphosphonates:-| furosemide:26927285| adefovir dipivoxil:-| ZIDOVUDINE, ANTIVIRAL:12105214| indinavir:16791115| lamivudine:16791115| LEUCOVORIN:12036927| GANCICLOVIR:12105214| rucaparib:-| PMEA, ADEFOVIR:12695538,10470083| irinotecan:23478653| CISPLATIN:9270026| zidovudine:16791115;22960662| cisplatin:23478653| cytarabine:26842729| METHOTREXATE:12036927| antineoplastic agents:19515727
ABCC5	glibenclamide:27403931| fluorouracil:26352872| doxorubicin:25829401;26975227| cisplatin:25829401| irinotecan:21892003;26352872| leucovorin:26352872| zidovudine:22960662| oxaliplatin:24924344
ABCC6	SALINE, SODIUM CHLORIDE:17151194| CHONDROITIN SULFATE:12600949| docetaxel:20038957| thalidomide:20038957| HEPARAN SULFATE:12600949
ABCC9	doxorubicin:26230641| montelukast:28940478| daunorubicin:26230641
ABCG1	irinotecan:21892003;26352872| fluorouracil:26352872| leucovorin:26352872
ABCG2	pazopanib:22918879;25504632| fluvastatin:19842935| axitinib:-| KINASE INHIBITOR:17041089| VORICONAZOLE:17518356| apixaban:28678049;29457840| PRAVASTATIN:17622941| SIROLIMUS:17031644| levofloxacin:23616064| CYCLOSPORINE, CSA:17031644| OSI-774:18723475| voriconazole:29914286| IMATINIB MESYLATE:15805252| Other general anesthetics:30136624| clozapine:27932669| lamivudine:-| doxorubicin:-| ALVOCIDIB, FLAVOPIRIDOL:11205902| zidovudine:22960662| IMATINIB:15805252| GENISTEIN:15290869| GLEEVEC:15805252,15155841| CYCLOSPORIN A, CYCLOSPORINE:17031644| paclitaxel:21151855| imatinib:18981009;24123600;24322003;25417047;27991849;30713339| ezetimibe / rosuvastatin:-| TACROLIMUS:17031644| SILYMARIN:15290869| risperidone:28719598| CYCLOSPORINE, CICLOSPORIN:16805961| nilotinib:24322003| dasatinib:24322003| capecitabine:20530282;24338217| tenofovir:28462920| Opioid anesthetics:30136624| KETOCONAZOLE:17518356| sorafenib:28289864| CHLORPROMAZINE:18834354| DEHYDROEPIANDROSTERONE, PRASTERONE:15448171| rosuvastatin:16784736;19474787;20130569;20207952;20679960;22331829;23930675;25630984;28322941| Platinum compounds:19525887| simvastatin:19842935;22918879;24598718| FOLIC ACID:15047700| iguratimod:29517409| HUMAN CHORIONIC GONADOTROPIN, GONADOTROPIN, CHORIONIC:17823853| docetaxel:21151855| rucaparib:-| efavirenz:23859571| erlotinib:-| topotecan:27052877| felodipine:28244604| dolutegravir:28858994| ITRACONAZOLE:17518356| n-desethyl sunitinib:-| volatile anesthetics:30136624| NITROFURANTOIN:17093006| leucovorin:20530282;24018773;24338217| SN-38:-| cyclophosphamide:-| diflomotecan:15229462| antineoplastic agents:-
ABCG4	HORMONES:18668433
ABI1	dasatinib:-| ponatinib:-
ABL1	GLEEVEC:16630177| ponatinib:25132497| Dasatnib:11287973,20525993,23502220,12637609,11287972,20525995,22160483| dasatinib:25132497| imatinib:25132497| DASATINIB, Dasatinib:26758680| homoharringtonine:25950190| PONATINIB:20512393,14745431,20537386,11861307,15256422,11423618,20963643,22772060,22306673,23676790,11853795,22870928,20697894,21872826,12623848,19466505,12130516,20367437,17114651,18828913,24236021,15381060,23540562,21895409,21489624,23355941,11964322,24456693,18615627,25157968,14559829,21605905,21562040,21505103,19652056,15194504,21762985,12399961| PONATINIB:23190221,24236021,25349473| inotuzumab ozogamicin:-| HYDROXYUREA:7923130| Nilotinib, NILOTINIB:11287973,20525993,23502220,12637609,11287972,20525995,22160483| busulfan:-| QUERCETIN:9349317| Imatinib, IMATINIB:26758680| IMATINIB:20537386,19075254,15930265,12476305,15194504| GENISTEIN:9349317| ACYCLOVIR:8683981| blinatumomab:-| GLUCOCORTICOID:2973444| vincristine:-| OXALIPLATIN:10098743| PROGESTERONE:10195429| IMATINIB MESYLATE:16205964,12910520| bosutinib:25132497| Imatinib, IMATINIB:11287973,20525993,23502220,17496201,12637609,11287972,20525995,22160483,20131302,12200353| NILOTINIB:20537386,19075254| DASATINIB:20537386,18818391| CELECOXIB:16917206| DASATINIB:14745431,15256422,23676790,11853795,20697894,19466505,20367437,15381060,21895409,11964322,24456693,18615627,25157968,14559829,21562040,21505103,19652056,12399961| 5-AZACYTIDINE, AZACITIDINE:2425967| DASATINIB, Dasatinib:11287973,17496201,20131302,12200353| MELPHALAN:7923130| BOSUTINIB:14745431,15256422,23676790,11853795,20697894,12623848,19466505,20367437,17114651,18828913,15381060,21895409,21489624,11964322,24456693,18615627,25157968,14559829,21605905,21562040,21505103,19652056,12399961| NILOTINIB:23676790,12623848,20367437,17114651,18828913,21895409,21489624,11964322,25157968,21605905,21562040| nilotinib:25132497;25950190| Nilotinib, NILOTINIB:28514312| axitinib:25686603
ABO	hormonal contraceptives for systemic use:28750087| Ace Inhibitors, Plain:21832968
ACADM	HORMONES:9164869
ACE	ENZYME INHIBITOR:3015330| torasemide:20877298| VASOPRESSIN:6289972| gemfibrozil:12123487| acetylcholine:10334805| sildenafil:12837457| bupropion:22947179| fluoxetine:27262302| salvianolic acid b:24827774| furosemide:20877298;21692745| bumetanide:20877298| cilazapril:10999650; 11007831; 11217909; 15773232; 15967849; 16242049; 19290794; 19497121; 8986921; 9270093; 9535416; 9726242;10335726| captopril:19286758;20830509;27546928;9069453;9551410;9869506| perindopril:11007831;11699055;15788353| atorvastatin:16116691| GLUCOCORTICOID:1711545| Thiazides, plain:12623934;12371972;19247266| enalapril:10880412;12799093;8538349;8986921;9661139| Fibrates:12123487| INDOMETHACIN:3937925| ENALAPRIL MALEATE:3038326| nitroprusside:10334805| hydrochlorothiazide:12623934;12371972;16450155;21269061| pravastatin:11250978; 11545752;10636265;12695469;16103896| antipsychotics:12729939| hmg coa reductase inhibitors:11250978; 11545752;10636265| aspirin:18727619| CAPTOPRIL:2839262,2442780,3937925,3320343,3325392,3038284,7042175,6275810,12424228,12489813,2875891,9863143,8864563| metoprolol:12844134; 8728305;11593098
ACHE	GALACTITOL:11098845| THIOGUANINE, 6-THIOGUANINE:1207869| RADIOSENSITIZERS:12033498| MAGNESIUM CHLORIDE:8747488| METHADONE:8149590| 8-AZAGUANINE:1207869| 6-AMINONICOTINAMIDE:153476| BETAMETHASONE:3896398
ACLY	GLUCAGON:489538
ACO1	ANTISERUM:8764614| ACETYLCYSTEINE, N-ACETYLCYSTEINE:10037708| ANTIOXIDANT:10037708
ACOT7	corticosteroids:30697902
ACP5	STREPTOZOTOCIN:14640894| FILGRASTIM, G-CSF:1724107| ANALGESICS:12521129| CILMOSTIM, M-CSF:12390325| TPA, PHORBOL MYRISTATE ACETATE:1436243
ACSS2	docetaxel:21636554| ethanol:28550509| gemcitabine:21636554| paclitaxel:21636554| carboplatin:21636554| cisplatin:21636554
ACSS3	antidepressants:25916525
ACTB	ENVIRONMENTAL ESTROGEN:17288598| CYCLOPHOSPHAMIDE:12167460| ETHINYL ESTRADIOL, ETHINYLESTRADIOL:17288598
ACTC1	GLUCOCORTICOID:15988617| DEXAMETHASONE:15988617
ACTG1	vincristine:-
ACTR2	ETOPOSIDE:15900709| MCP-1:16004967
ACY3	atenolol:28353407| bisoprolol:28353407
ACYP2	cisplatin:25665007;26928270;28445188
ADA	NG-MONOMETHYL-L-ARGININE, TARGININE:1846547| SELENIUM:9884517| METHOTREXATE:2431676| PROTHYMOSIN ALPHA:7798593| HYDROCORTISONE:2395837| GARLIC:7604070| CHELATORS:9144774| RECOMBINANT INTERLEUKIN:2569954| 2,3-DIDEOXYADENOSINE, CHEMBL23094:3496090| 6-METHYLMERCAPTOPURINE RIBOSIDE:10102| H2O2, HYDROGEN PEROXIDE:15966013| ANTIMALARIALS, CHEMBL1255648:10639753| LEVODOPA, L-DOPA:11134247| DIFFERENTIATING AGENTS:2842422| COBALT:9144774| AMITRIPTYLINE:16283318
ADAM33	ustekinumab:27977334
ADAMTS1	hmg coa reductase inhibitors:21037509| pravastatin:18174457
ADAMTS4	CHONDROITIN SULFATE:14701864
ADAMTS5	TUMOR NECROSIS FACTOR, STAUROSPORINE:11520168
ADCK1	paliperidone:-
ADCY1	lithium:29121268
ADCY2	anthracyclines and related substances:-| antipsychotics:-
ADCY9	salbutamol:-| dalcetrapib:25583994
ADCYAP1	PROPRANOLOL:9353360| ENZYME INHIBITOR:16411147| STREPTOZOTOCIN:9864055| ANTIPARASITIC:16888182
ADCYAP1R1	INSULIN:11897681| IL-6:16354624| MCP-1:16354624| NALOXONE:12573539
ADD1	spironolactone:21692745| bumetanide:20877298| furosemide:20877298;21692745| torasemide:20877298
ADGRG7	capecitabine:-
ADGRL3	nicotine:-
ADH1A	abacavir:24625462| acetaldehyde:31002879| ethanol:-| fludarabine:22584460| gemtuzumab ozogamicin:22584460| idarubicin:22584460| cytarabine:22584460
ADH1B	ethanol:15902904;23240771;26863581| abacavir:24625462| acetaldehyde:31002879
ADH1C	abacavir:24625462| cisplatin:24533712| ethanol:14693654| RETINOIC ACID, TRETINOIN:11959987| cyclophosphamide:24533712
ADH4	ALCOHOL, ETHANOL:3610585
ADH7	anthracyclines and related substances:21900104;23441093| ethanol:-
ADIPOQ	INSULIN:16567542| FENOFIBRATE:17194889| SPIRONOLACTONE:17142138| NEVIRAPINE:15305892
ADK	abacavir:24625462| BLEOMYCIN, BLEOMYCIN (CHEMBL3039590):6317371| DIDANOSINE, 2&APOS;,3&APOS;-DIDEOXYINOSINE:3262616| 2,3-DIDEOXYADENOSINE, CHEMBL23094:3262616| BUSULFAN:6317371| LOMUSTINE:6317371| DACARBAZINE:6317371| azathioprine:26332308
ADM	TPA, PHORBOL MYRISTATE ACETATE:10848972| INDOMETHACIN:10830296| paroxetine:19636336| INSULIN:12668590| CHEMBL35482, PD-98059:10830296
ADORA1	aspirin:19019667
ADORA2A	antineoplastic agents:26644204| corticosteroids:26644204
ADORA2A-AS1	methotrexate:27399166
ADRA1A	norepinephrine:-| epinephrine:-| methoxamine:-| nifedipine:19444285| isoproterenol:-| Alpha-adrenoreceptor antagonists:-| dopamine:-| phenylephrine:-
ADRA1B	norepinephrine:-| epinephrine:-| methoxamine:-| isoproterenol:-| Alpha-adrenoreceptor antagonists:-| dopamine:-| phenylephrine:-
ADRA1D	norepinephrine:-| epinephrine:-| PAPAVERINE:9351495| CYPROTERONE ACETATE:14576912| methoxamine:-| isoproterenol:-| METOPROLOL SUCCINATE:16682315| Alpha-adrenoreceptor antagonists:-| dopamine:-| phenylephrine:-
ADRA2A	atenolol:15614026| milnacipran:-| norepinephrine:-| epinephrine:-| antipsychotics:-| nortriptyline:19641488| yohimbine:-| isoproterenol:-| Selective serotonin reuptake inhibitors:25642918| brimonidine:-| dopamine:-
ADRA2B	norepinephrine:-| epinephrine:-| yohimbine:-| isoproterenol:-| brimonidine:-| dopamine:-
ADRA2C	norepinephrine:-| epinephrine:-| clonidine:20833658| bucindolol:23071495| yohimbine:-| isoproterenol:-| metoprolol:17496726| brimonidine:-| dopamine:-
ADRB1	catecholamines:17541557| flecainide:27500822| muraglitazar:18794727| isoproterenol:27643874| bucindolol:12709726;12844134;12921807;14502278;14534524;15735607;15861037;15864115;16815314;16844790;17496726;18075464;20235788;20352314;20643254;21311897;22192668;22617224;23071495| timolol:16315032| Beta blocking agents, selective:-
ADRB2	propranolol:-| epinephrine:-| pindolol:-| ramipril:26111150| risperidone:-| enalapril:17178264| isoproterenol:11586955| ritodrine:-| BRONCHODILATOR:15806595| CARVEDILOL:12835612| tiotropium:19183167| ISOPROTERENOL:11358333,14734046,10784181| VOLANESORSEN SODIUM, SALT:2557514| methacholine:23384627| Beta blocking agents, non-selective:-| orciprenaline:-| ANTIDEPRESSANT:7901780| fenoterol:-
ADRB3	Thiazides, plain:15824464| olanzapine:19193342
ADSS	ALANOSINE:7825060
AFP	NICOTINE:1711749| BCG:6155303| 5-AZACYTIDINE, AZACITIDINE:6197072| LIGNANS:1716990| RU 486, MIFEPRISTONE:1701323| METHOTREXATE:2581382| ETOPOSIDE:1382827,2427033| ASPIRIN:7515237| NORDIHYDROGUAIARETIC ACID:1716990| BROMODEOXYURIDINE:2452471| RUTIN:9492341| BLEOMYCIN, BLEOMYCIN (CHEMBL3039590):10226829| N-METHYL-N-NITROSUREA, N-METHYL-N-NITROSOUREA:2424628| VINCRISTINE:15770640| EPOETIN BETA, ERYTHROPOIETIN:9016855| ANALGESICS:1711749| CORTICOSTEROIDS:66166| FOLIC ACID:14990409| DACTINOMYCIN, ACTINOMYCIN D:9891062| PEP:2427033| DOXORUBICIN:15770640| POLYETHYLENE GLYCOL:7543774| INDOMETHACIN:2443931| NDGA:1716990| UFT:11242656
AGAP1	risperidone:-
AGBL4	rifampin:-| ustekinumab:27977334
AGER	VITAMIN B12:17427284| MAPK INHIBITORS:17207088
AGT	aspirin:20824505| Antiinflammatory agents, non-steroids:20538124| imidapril:25143324| ADENOVIRUS VECTOR:16014023| KINASE INHIBITOR:11881120| lisinopril:-| quinapril:11849656| CYCLOSPORIN A, CYCLOSPORINE:10642325| chlorthalidone:-| benazepril:17261659;21449848;25143324| amlodipine:-| hydrochlorothiazide:14735111| QUINAPRIL:12693379,11849656| CORTISOL, HYDROCORTISONE:15576665| MESTRANOL:3023023| ADRIAMYCIN:7581027| ENALAPRIL:11928713| ANTI-ANGIOGENIC AGENTS:15578913
AGTR1	nitrendipine:8952600| angiotensin II:10594793| captopril:19286758| STANOLONE, DHT:16990489,16482568| Thiazides, plain:19247266| TYROSINE KINASE INHIBITOR:15713908| atorvastatin:-| IDOXIFENE:11588112| GENISTEIN:7476882| ANTISENSE OLIGONUCLEOTIDES:9092554| IL-6:7642569| benazepril:21449848| H2O2, HYDROGEN PEROXIDE:18006461| INDOMETHACIN:9357777| ASCORBATE, ASCORBIC ACID:18091746| MUSCLE RELAXANT:9918604| Ace Inhibitors, Plain:18347611;23407050| CYCLOSPORINE, CSA:17477024| DEXAMETHASONE:16482568| perindopril:20712529;8952600| losartan:10594793;15743363;15775779;20436376| LEVODOPA, L-DOPA:9458818| ANTISENSE C-FOS:12215476| hydrochlorothiazide:14735111| VOLANESORSEN SODIUM, SALT:10100098| ATORVASTATIN:11179461| INTERFERON GAMA-1B, INTERFERON GAMMA:9231818
AGTR2	BFGF:10537123| TGFBETA1:10537123| PUROMYCIN:12495295| ROSIGLITAZONE:16891009
AHR	METHYLCELLULOSE:11516172| olanzapine:23492908| omeprazole:15860653
AHRR	TCDD:15013435
AIFM1	CYCLOSPORIN A, CYCLOSPORINE:12787063| HSP70:12022952
AIP	TCDD:10986286
AK2	tenofovir:-| adefovir dipivoxil:-
AK4	tenofovir:-| adefovir dipivoxil:-
AKAP13	haloperidol:27023437
AKR1A1	doxorubicin:21048526
AKR1B1	UVB:10391122| URACIL:9057855| TECTORIGENIN:16870454| ANTISERUM:2158468| GROWTH AGENTS:9371720
AKR1C1	PROGESTERONE:6584862,12604236,3463506,2547059,6950669,3859707,179793,6288675| ESTRONE:3859707| HUMAN CHORIONIC GONADOTROPIN, GONADOTROPIN, CHORIONIC:436730
AKR1C3	NSAIDS:12543809| ANDROGENS:10998348| NSAID:14996743| Antiandrogens:-| TESTOSTERONE:10998348| exemestane:27111237| daunorubicin:20837989| doxorubicin:20837989;21048526;23116553| docetaxel:23116553
AKR1C4	daunorubicin:20837989
AKR1D1	cholic acid:-
AKR7A2	doxorubicin:20837989| daunorubicin:20837989
AKT1	Ipatasertib, IPATASERTIB:27872130| AZD-4547, AZD4547:26351323| ARQ 751:26469692| CETUXIMAB, Cetuximab:25714871| Sirolimus, SIROLIMUS:18708578| BYL719, ALPELISIB:27604488| AZD-5363, AZD5363:26351323,26931343,28376212,28489509| Irinotecan, IRINOTECAN:25714871| Cisplatin:25519148| VEMURAFENIB:24265152| Vemurafenib, VEMURAFENIB:24265152| AZD-5363, AZD5363:26351323,22294718,23394218| risperidone:18855532| ARQ092, ARQ-092:26469692| TEMSIROLIMUS, Temsirolimus:27016228| BAY1125976, BAY-1125976:27699769| MK-2206, MK2206:24265152,25551293| GDC-0941, PICTILISIB:27604488| AZD-5363:28489509| PERIFOSINE, Perifosine:25519148| ONC201:23390247| WORTMANNIN:10187855| DOXORUBICIN, Doxorubicin:18708578| AZD-5363, AZD5363:26351323| Triciribine, TRICIRIBINE:20644979| GSK2141795, UPROSERTIB:24735930,24978597,23795919,26429956
AKT2	TRASTUZUMAB:22842582
AKT3	MK-2206:27297869| GSK-690693, GSK690693:24335962
ALB	NAPROXEN:10682387| ANTISERUM:1378681| RALTITREXED:15025739
ALCAM	5-FLUOROURACIL, FLUOROURACIL:24708484
ALDH1A1	aldophosphamide:-| carboplatin:18854779| ethanol:-| chloroacetaldehyde:-| vitamin a:-| thiotepa:18854779
ALDH1A2	hydrochlorothiazide:29097388| atenolol:29097388| RETINOIC ACID, TRETINOIN:11306068,15652703,14623241| RETINOL:9666306| VITAMIN A, RETINOL:9666306,11133156| RETINOIDS, ETRETINATE:11751205| Bisphosphonates:-
ALDH1L1	l-methionine:24651765| methylphenidate:-
ALDH2	heroin:21723677| ALCOHOL, ETHANOL:8986223
ALDH3A1	carboplatin:18854779| ANTABUSE, DISULFIRAM:7907815| ALCOHOL, ETHANOL:15909415,12652939,14987799| fluorouracil:-| cyclophosphamide:18854779| DISULFIRAM:2185582| doxorubicin:-| thiotepa:18854779
ALDH5A1	valproic acid:23407051| methadone:24230997
ALG10	gemcitabine:24225399
